variant,seed,test_level,mse_hat_vs_clean,mse_degraded_vs_clean,cos_hat_vs_clean,cos_degraded_vs_clean,cos_hat_vs_degraded,mse_improvement,recovers,mse_mean_predictor,cos_mean_predictor,r2_hat,r2_degraded,centered_cos_hat,centered_cos_degraded,beats_mean_predictor
ed,0,0.0,0.005858776159584522,0.0,0.987614095211029,1.0,0.987614095211029,-0.005858776159584522,False,0.011276578530669212,0.9757827520370483,0.48044735877551403,1.0,0.660472571849823,1.0,True
ed,0,0.2,0.005858776159584522,0.008332911878824234,0.987614095211029,0.9822772741317749,0.9770294427871704,0.0024741357192397118,True,0.011276578530669212,0.9757827520370483,0.48044735877551403,0.26104253553850665,0.660472571849823,0.6384398341178894,True
ed,0,0.4,0.005858776159584522,0.017251700162887573,0.987614095211029,0.9632935523986816,0.9629836678504944,0.011392924003303051,True,0.011276578530669212,0.9757827520370483,0.48044735877551403,-0.5298700856795935,0.660472571849823,0.37913018465042114,True
ed,0,0.6,0.005858776159584522,0.02802927978336811,0.987614095211029,0.940339207649231,0.9444952011108398,0.02217050362378359,True,0.011276578530669212,0.9757827520370483,0.48044735877551403,-1.4856191713768614,0.660472571849823,0.18504689633846283,True
ed,0,0.8,0.005858776159584522,0.04208514839410782,0.987614095211029,0.9104012846946716,0.9194475412368774,0.036226372234523296,True,0.011276578530669212,0.9757827520370483,0.48044735877551403,-2.7320848943363196,0.660472571849823,0.020805155858397484,True
ed,0,1.0,0.005858776159584522,0.08551614731550217,0.987614095211029,0.8181148171424866,0.8296258449554443,0.07965737115591764,True,0.011276578530669212,0.9757827520370483,0.48044735877551403,-6.583518979885753,0.660472571849823,-0.13776278495788574,True
ed,1,0.0,0.006366375833749771,0.0,0.9866650104522705,1.0,0.9866650104522705,-0.006366375833749771,False,0.011276578530669212,0.9757827520370483,0.4354337340501848,1.0,0.6221591830253601,1.0,True
ed,1,0.2,0.006366375833749771,0.008332911878824234,0.9866650104522705,0.9822772741317749,0.9758021831512451,0.001966536045074463,True,0.011276578530669212,0.9757827520370483,0.4354337340501848,0.26104253553850665,0.6221591830253601,0.6384398341178894,True
ed,1,0.4,0.006366375833749771,0.017251700162887573,0.9866650104522705,0.9632935523986816,0.9617103338241577,0.010885324329137802,True,0.011276578530669212,0.9757827520370483,0.4354337340501848,-0.5298700856795935,0.6221591830253601,0.37913018465042114,True
ed,1,0.6,0.006366375833749771,0.02802927978336811,0.9866650104522705,0.940339207649231,0.9433040618896484,0.02166290394961834,True,0.011276578530669212,0.9757827520370483,0.4354337340501848,-1.4856191713768614,0.6221591830253601,0.18504689633846283,True
