variant,regime,seed,test_level,best_epoch,val_macro_f1,macro_f1,micro_f1,hamming_accuracy,exact_match_accuracy,macro_map
ed,ed_r1,0,0.0,34,0.7225807429157024,0.7156165940495491,0.7291591265532633,0.8102362537508981,0.1399349139934914,0.7896616508061836
ed,ed_r1,0,0.2,34,0.7225807429157024,0.6750205878034332,0.6922863945954926,0.7651409492413677,0.09437470943747095,0.775046727084468
ed,ed_r1,0,0.4,34,0.7225807429157024,0.6410604981402321,0.6534936695449489,0.7235535269008072,0.06927010692701069,0.7591790077828912
ed,ed_r1,0,0.6,34,0.7225807429157024,0.60205500016923,0.6229091679017573,0.698913824436837,0.06555090655509066,0.7413428558030714
ed,ed_r1,0,0.8,34,0.7225807429157024,0.49626853130484466,0.5644638264564464,0.6707662398038967,0.06229660622966062,0.7093953704262093
ed,ed_r1,0,1.0,34,0.7225807429157024,0.09931652008848414,0.11730147850778419,0.6189932800811462,0.05392840539284054,0.6804244002439991
ed,ed_r2,0,0.0,37,0.6898524636027161,0.686139793285582,0.7199132634622335,0.8034740712564981,0.1297071129707113,0.7726833372318347
ed,ed_r2,0,0.2,37,0.6898524636027161,0.6806479344508801,0.7165697674418605,0.802206162038798,0.12133891213389121,0.7685020033114942
ed,ed_r2,0,0.4,37,0.6898524636027161,0.6755556432527813,0.7137377127787101,0.798148852542158,0.12366341236634124,0.7616337060741695
ed,ed_r2,0,0.6,37,0.6898524636027161,0.6694829659823864,0.7056425016489777,0.792527788343688,0.11483031148303115,0.7517147516452468
ed,ed_r2,0,0.8,37,0.6898524636027161,0.6389359424776068,0.6855676402297446,0.7825113055238578,0.11064621106462111,0.732307968467794
ed,ed_r2,0,1.0,37,0.6898524636027161,0.26055558059688644,0.3925720527686749,0.694476142174887,0.08228730822873083,0.7030609942700792
ed,ed_r1,1,0.0,27,0.7153969488827151,0.7070594899426237,0.7302690717324863,0.8097713537044081,0.1399349139934914,0.789278530627067
ed,ed_r1,1,0.2,27,0.7153969488827151,0.6495458681719198,0.6789777411376752,0.7531380753138075,0.08228730822873083,0.7717058154045735
ed,ed_r1,1,0.4,27,0.7153969488827151,0.5997746660390085,0.6383890317052271,0.7146358987363172,0.06601580660158066,0.7532606460593899
ed,ed_r1,1,0.6,27,0.7153969488827151,0.5521666060048169,0.604035582555869,0.6914754236929969,0.05950720595072059,0.7338911480964977
ed,ed_r1,1,0.8,27,0.7153969488827151,0.4497268212127403,0.5456105233056906,0.6642153755124467,0.05811250581125058,0.6989721771104296
ed,ed_r1,1,1.0,27,0.7153969488827151,0.11753929099702373,0.1522519749666564,0.6507755378048266,0.05439330543933055,0.6634233995781654
ed,ed_r2,1,0.0,23,0.6873448309583987,0.697603933302091,0.719932716568545,0.802966907569418,0.1301720130172013,0.7740796604062741
ed,ed_r2,1,0.2,23,0.6873448309583987,0.6881663621461221,0.7121036937868922,0.800050716368708,0.12319851231985124,0.7693555787557067
ed,ed_r2,1,0.4,23,0.6873448309583987,0.6828049019955998,0.7068326753720012,0.795993406872068,0.11901441190144119,0.7631671559866077
ed,ed_r2,1,0.6,23,0.6873448309583987,0.6690096006106022,0.6956468574223527,0.7896115971429779,0.10925151092515109,0.7511830673714134
ed,ed_r2,1,0.8,23,0.6873448309583987,0.6278981665192576,0.6672571970895286,0.7777355141371878,0.10460251046025104,0.7267910146171452
ed,ed_r2,1,1.0,23,0.6873448309583987,0.11246152885939957,0.20954281567489114,0.6317146358987363,0.05392840539284054,0.6785416413752315
ed,ed_r1,2,0.0,29,0.7269448391314673,0.7182547855242645,0.7332189958010527,0.8093487172985081,0.13528591352859135,0.7867061882165857
ed,ed_r1,2,0.2,29,0.7269448391314673,0.6684906504783134,0.6912762607893166,0.7596466759646676,0.08926080892608089,0.7699111172543042
ed,ed_r1,2,0.4,29,0.7269448391314673,0.6369143293011937,0.657619600802619,0.7259625544144372,0.06834030683403068,0.7566908967458125
ed,ed_r1,2,0.6,29,0.7269448391314673,0.61057281127393,0.6325463476469656,0.7059718524153671,0.06322640632264064,0.7360969336772002
ed,ed_r1,2,0.8,29,0.7269448391314673,0.5151279659889356,0.5797263960529266,0.6831917501373568,0.06043700604370061,0.7036707617679993
ed,ed_r1,2,1.0,29,0.7269448391314673,0.02388254329978624,0.04079740380157627,0.5627826380964456,0.05392840539284054,0.671014682330852
ed,ed_r2,2,0.0,29,0.6938947994440688,0.6958137337315926,0.7148040638606676,0.800684670977558,0.13156671315667132,0.7715474168144643
ed,ed_r2,2,0.2,29,0.6938947994440688,0.6891593555514941,0.7091338869022366,0.797176788808588,0.1199442119944212,0.765438033118322
ed,ed_r2,2,0.4,29,0.6938947994440688,0.6823333382811215,0.705988782341234,0.793964752123748,0.12133891213389121,0.7594386882355217
ed,ed_r2,2,0.6,29,0.6938947994440688,0.6682276523936115,0.693299282500304,0.7868221968640379,0.11576011157601115,0.747960125022265
ed,ed_r2,2,0.8,29,0.6938947994440688,0.6360222767401799,0.6743807855891919,0.7799754870884578,0.10599721059972106,0.7263587356802167
ed,ed_r2,2,1.0,29,0.6938947994440688,0.17862769399248307,0.3743795036028823,0.6697519124297368,0.06694560669456066,0.6782863391748921
ed_residual,ed_r2,0,0.0,26,0.6868166169036681,0.7027424301204866,0.7227859501651156,0.804868771395968,0.13156671315667132,0.7759925214194298
ed_residual,ed_r2,0,0.2,26,0.6868166169036681,0.6959538026806482,0.7149805447470817,0.801868052914078,0.12226871222687122,0.7682820501207602
ed_residual,ed_r2,0,0.4,26,0.6868166169036681,0.6874318702244996,0.7093356068448937,0.798275643463928,0.11854951185495119,0.7609081218228337
ed_residual,ed_r2,0,0.6,26,0.6868166169036681,0.6710986506527595,0.6955828220858896,0.7902878153924179,0.11204091120409113,0.7443621742206006
ed_residual,ed_r2,0,0.8,26,0.6868166169036681,0.6190397570482508,0.6594335457011291,0.7718186044545877,0.10320781032078104,0.7118962602381074
ed_residual,ed_r2,0,1.0,26,0.6868166169036681,0.0093034446805951,0.021720812657990824,0.5583872194750856,0.05392840539284054,0.46578296527695184
ed_residual,ed_r2,1,0.0,23,0.6738173717000318,0.6931476286530186,0.7195498275549101,0.804108025865348,0.12877731287773128,0.7771103135773149
ed_residual,ed_r2,1,0.2,23,0.6738173717000318,0.683750205005989,0.7143118037377488,0.801656734711128,0.12552301255230125,0.7660512491722758
ed_residual,ed_r2,1,0.4,23,0.6738173717000318,0.6718673381154251,0.7056454073848032,0.7961624614344279,0.10925151092515109,0.7599826096369099
ed_residual,ed_r2,1,0.6,23,0.6738173717000318,0.6567579283159282,0.6916574788680632,0.7872448332699379,0.1087866108786611,0.7417325158103786
ed_residual,ed_r2,1,0.8,23,0.6738173717000318,0.5950523105920229,0.6506670070849556,0.7686910950509277,0.10088331008833101,0.7028479832686603
ed_residual,ed_r2,1,1.0,23,0.6738173717000318,0.0093034446805951,0.021720812657990824,0.5583872194750856,0.05392840539284054,0.4814394931452659
ed_residual,ed_r2,2,0.0,27,0.6823301894069782,0.6991568422475178,0.7276220207720477,0.8082498626431681,0.13482101348210135,0.7782179441395525
ed_residual,ed_r2,2,0.2,27,0.6823301894069782,0.6930430661453865,0.7221889594060592,0.8038967076623981,0.12133891213389121,0.7696759999255695
ed_residual,ed_r2,2,0.4,27,0.6823301894069782,0.6845130499729574,0.7153092906615716,0.7984869616668779,0.11854951185495119,0.763148883731155
ed_residual,ed_r2,2,0.6,27,0.6823301894069782,0.6670700248514778,0.7033191285036913,0.7910908245636279,0.10785681078568107,0.7459797994215549
ed_residual,ed_r2,2,0.8,27,0.6823301894069782,0.6228044169642883,0.6733296316861003,0.7762140230759478,0.10181311018131102,0.7102503845667699
ed_residual,ed_r2,2,1.0,27,0.6823301894069782,0.0093034446805951,0.021720812657990824,0.5583872194750856,0.05392840539284054,0.49331257936883083
