test_level,fusion,optical,sar_gain,sar_gain_mean_fill
0.0,0.6742025407788402,0.6982401135909889,-0.02403757281214869,-0.0131
0.2,0.6697856899723568,0.6844261659132812,-0.014640475940924436,-0.0122
0.4,0.6673110267810819,0.6758428268879962,-0.008531800106914345,-0.0067
0.6,0.6600846310271437,0.6582390824355938,0.0018455485915498393,0.0022
0.8,0.6452458855598733,0.6017087187242274,0.0435371668356459,0.0373
1.0,0.43388640892571645,0.0093034446805951,0.4245829642451214,0.4549
