arm,seed,test_level,macro_f1,micro_f1,hamming_accuracy,exact_match_accuracy,macro_map
optical,0,0.0,0.6935060890432575,0.7192022376261705,0.804826507755378,0.13156671315667132,0.7731579440182276
optical,0,0.2,0.6807213798405798,0.7096015837663945,0.8016144710705381,0.11854951185495119,0.7646191709730281
optical,0,0.4,0.6707347759227419,0.7039603960396039,0.797810743417438,0.11715481171548117,0.7575248915233679
optical,0,0.6,0.6543648012402065,0.6925435369143979,0.7880901060817379,0.10925151092515109,0.738152544463711
optical,0,0.8,0.5947676098649117,0.6492474099172477,0.7724948227040277,0.09902370990237098,0.7050152795286108
optical,0,1.0,0.0093034446805951,0.021720812657990824,0.5583872194750856,0.05392840539284054,0.36050885423270357
optical,1,0.0,0.689619355843488,0.713643717418659,0.798022061620388,0.12366341236634124,0.7695244549606752
optical,1,0.2,0.6783059590304564,0.7068533349636241,0.7973458433709479,0.12273361227336123,0.7617018661655375
optical,1,0.4,0.6718420762275462,0.7040009803320875,0.7958243523097079,0.11808461180846118,0.7553330673719181
optical,1,0.6,0.6506034343685985,0.6911045943304008,0.7863150331769578,0.10739191073919108,0.7373687013208138
optical,1,0.8,0.5923286692513604,0.6518764784860303,0.7698744769874477,0.09483960948396095,0.7030516909626556
optical,1,1.0,0.0093034446805951,0.021720812657990824,0.5583872194750856,0.05392840539284054,0.36050885423270357
optical,2,0.0,0.7115948958862212,0.7243809868064341,0.8066438443007481,0.13435611343561135,0.7846154837720245
optical,2,0.2,0.6942511588688074,0.712963530493411,0.802079371117028,0.13389121338912133,0.7770545957988481
optical,2,0.4,0.6849516285137006,0.7052001727222257,0.798022061620388,0.12366341236634124,0.7684060660943035
optical,2,0.6,0.6697490116979763,0.6919763721388137,0.7884282152064579,0.11250581125058112,0.7520581961038272
optical,2,0.8,0.61802987705641,0.6502342897490211,0.7697054224250877,0.099488609948861,0.7140642022564301
optical,2,1.0,0.0093034446805951,0.021720812657990824,0.5583872194750856,0.05392840539284054,0.36050885423270357
fusion,0,0.0,0.6712807715048009,0.7051966378305418,0.7969232069650479,0.11622501162250116,0.7555562641965803
fusion,0,0.2,0.6653482271301391,0.7010765918179022,0.7946409703731879,0.11668991166899116,0.7527249867308683
fusion,0,0.4,0.6634775767138401,0.6990780577750461,0.7930772156713579,0.11297071129707113,0.7486207203291212
fusion,0,0.6,0.6543706655070726,0.6919898871554542,0.7888931152529479,0.1111111111111111,0.7408433402834689
fusion,0,0.8,0.6424892778206079,0.6804777902202315,0.7829339419297578,0.10925151092515109,0.7281138323554867
fusion,0,1.0,0.42561557429460667,0.46387995712754554,0.6828959046532268,0.06090190609019061,0.6884796638844936
fusion,1,0.0,0.6791948169333869,0.7049425861208187,0.800177507290478,0.1278475127847513,0.7626589104783686
fusion,1,0.2,0.6737742644386481,0.6958435515311576,0.795570770466168,0.12226871222687122,0.760415622970097
fusion,1,0.4,0.6707167910070125,0.6943324937027707,0.794852288576138,0.11854951185495119,0.7565429552418848
fusion,1,0.6,0.6597699208256876,0.6838318818629308,0.7882591606440978,0.1101813110181311,0.7494721483230348
fusion,1,0.8,0.6436944845855858,0.6685559706299111,0.7825113055238578,0.11297071129707113,0.7380477329012859
fusion,1,1.0,0.39959914487231907,0.41615818336294125,0.6805291407801868,0.05811250581125058,0.6917885957567601
fusion,2,0.0,0.672132033898333,0.7049567269866247,0.793964752123748,0.11529521152952116,0.7530516874223084
fusion,2,0.2,0.6702345783482834,0.7042594385285575,0.7934153247960779,0.11390051139005114,0.7516813161208511
fusion,2,0.4,0.6677387126223929,0.7017459070863288,0.791344406407168,0.11483031148303115,0.7478578299395092
fusion,2,0.6,0.6661133067486709,0.6998014320957939,0.7891466970964879,0.11529521152952116,0.7417456392339402
fusion,2,0.8,0.6495538942734261,0.6850104179433754,0.7827648873673978,0.1087866108786611,0.7314478501531455
fusion,2,1.0,0.47644450761022356,0.5008241758241758,0.6928278601918769,0.05950720595072059,0.68804351109134
